date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:23	168888/168888	---M--	200	added ('OK')	image/jpeg	etag:%22593159b5-293b8%22	http://glanz.starkethemes.com/html/images/wedding/lauren_affonso/600x600/14214473720_7f2af51372_k.jpg	D:/Wedding%20Web/glanz.starkethemes.com/html/images/wedding/lauren_affonso/600x600/14214473720_7f2af51372_k.jpg	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:09:26	144549/144549	---M--	200	added ('OK')	image/jpeg	etag:%2259315981-234a5%22	http://glanz.starkethemes.com/html/images/wedding/lauren_affonso/14214610370_ccda70fba1_k.jpg	D:/Wedding%20Web/glanz.starkethemes.com/html/images/wedding/lauren_affonso/14214610370_ccda70fba1_k.jpg	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:09:33	260822/260822	---M--	200	added ('OK')	image/jpeg	etag:%2259315977-3fad6%22	http://glanz.starkethemes.com/html/images/wedding/lauren_affonso/14214473720_7f2af51372_k.jpg	D:/Wedding%20Web/glanz.starkethemes.com/html/images/wedding/lauren_affonso/14214473720_7f2af51372_k.jpg	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:09:42	223862/223862	---M--	200	added ('OK')	image/jpeg	etag:%2259315988-36a76%22	http://glanz.starkethemes.com/html/images/wedding/lauren_affonso/14377952686_252620ebb7_k.jpg	D:/Wedding%20Web/glanz.starkethemes.com/html/images/wedding/lauren_affonso/14377952686_252620ebb7_k.jpg	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:09:47	145511/145511	---M--	200	added ('OK')	image/jpeg	etag:%22593159c4-23867%22	http://glanz.starkethemes.com/html/images/wedding/lauren_affonso/600x600/14377952686_252620ebb7_k.jpg	D:/Wedding%20Web/glanz.starkethemes.com/html/images/wedding/lauren_affonso/600x600/14377952686_252620ebb7_k.jpg	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:10:04	103852/103852	---M--	200	added ('OK')	image/jpeg	etag:%22593159d3-195ac%22	http://glanz.starkethemes.com/html/images/wedding/lauren_affonso/600x600/14399848562_abaad23e7a_k.jpg	D:/Wedding%20Web/glanz.starkethemes.com/html/images/wedding/lauren_affonso/600x600/14399848562_abaad23e7a_k.jpg	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:10:06	199963/199963	---M--	200	added ('OK')	image/jpeg	etag:%22593159cd-30d1b%22	http://glanz.starkethemes.com/html/images/wedding/lauren_affonso/600x600/14397823931_a8e8cf3fa7_k.jpg	D:/Wedding%20Web/glanz.starkethemes.com/html/images/wedding/lauren_affonso/600x600/14397823931_a8e8cf3fa7_k.jpg	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:10:07	155823/155823	---M--	200	added ('OK')	image/jpeg	etag:%2259315999-260af%22	http://glanz.starkethemes.com/html/images/wedding/lauren_affonso/14399848562_abaad23e7a_k.jpg	D:/Wedding%20Web/glanz.starkethemes.com/html/images/wedding/lauren_affonso/14399848562_abaad23e7a_k.jpg	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:10:16	312750/312750	---M--	200	added ('OK')	image/jpeg	etag:%2259315993-4c5ae%22	http://glanz.starkethemes.com/html/images/wedding/lauren_affonso/14397823931_a8e8cf3fa7_k.jpg	D:/Wedding%20Web/glanz.starkethemes.com/html/images/wedding/lauren_affonso/14397823931_a8e8cf3fa7_k.jpg	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
13:10:26	122957/122957	---M--	200	added ('OK')	image/jpeg	etag:%22593159d4-1e04d%22	http://glanz.starkethemes.com/html/images/wedding/lauren_affonso/600x600/14399908894_b8858a5476_k.jpg	D:/Wedding%20Web/glanz.starkethemes.com/html/images/wedding/lauren_affonso/600x600/14399908894_b8858a5476_k.jpg	(from http://glanz.starkethemes.com/html/01_02_home_pink_flowers.html)
